Partector2 SN 8066
Firmware: rev 113
Hardware: rev 3.1
Calibration: 6.84, calibrated on 30.4.2019
Cal params 1: -3.07, 26.38, 2.24, 0.94, 0.00000592, 1.09, 75, 120
Cal params 2: -2.21, 41.96, 7.48, 0.93, 150, 360
Cal params 3: -6.07, 81.09, 15.30, 0.86, 300, 720
Start: 17.6.2026 08:59:19
statistics: 2247091 LDSAmin, 33531 min, 1011816 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 1610 dp setpoint, 10 P, 500 D
settings 3: 0 integration time, 1 adaptive DV, 0 multi DV, 100 DV switchtime, 0 antispike, 90 RH shutdown, 0.97 RH corr, 153100 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T
settings 4: 999999 alarmlevel, 2 USBtransmit, 0 bluetooth, 15 brightness, 0 low power, 1 selftest, 360000 selftest interval
environment: T 7.2...47.8, RH 14.8...81.3
gain	1333.0	1340.0
startup	1332.4	1342.8

time	number	diam	LDSA	surface	mass	A1	A2	idiff	HV	EM1	EM2	DV	T	RH	P	flow	bat	Ipump	error
1.0	  13398	 41	 30.2	164.14	3.80	4.42	2.56	0.0	468	-5.56	-0.87	359	22.9	53	998.6	0.50	4.13	42.56	0
2.0	  13348	 40	 31.2	152.43	3.41	4.57	2.39	2.0	3515	7.44	3.06	359	22.9	56	998.8	0.50	4.13	42.12	0
3.0	  12456	 44	 32.2	169.75	4.14	4.71	2.63	0.0	468	-5.94	-2.81	359	22.9	56	998.8	0.50	4.12	42.36	0
4.0	  12066	 47	 34.2	187.90	4.90	5.01	2.86	2.0	3512	7.56	3.56	359	22.9	56	998.8	0.51	4.13	42.24	0
5.0	  13143	 46	 34.9	195.71	4.99	5.11	3.00	0.0	468	-5.87	-3.25	359	22.9	58	998.5	0.51	4.14	42.44	0
6.0	  14254	 43	 33.1	190.57	4.61	4.83	2.95	2.0	3518	6.87	4.00	359	22.9	58	998.5	0.50	4.13	42.72	0
7.0	  13613	 43	 32.9	179.24	4.30	4.81	2.78	0.0	467	-6.19	-3.06	359	22.9	58	998.5	0.50	4.13	43.16	0
8.0	  12914	 45	 32.9	184.32	4.60	4.81	2.84	2.0	3518	7.25	3.62	359	22.9	60	998.5	0.50	4.12	42.92	0
9.0	  19638	 31	 32.0	131.00	2.24	4.68	2.06	0.0	468	-5.81	-3.31	359	22.9	60	998.5	0.50	4.13	42.88	0
10.0	  24563	 24	 31.6	103.22	1.40	4.62	1.56	2.0	3511	7.12	2.12	359	22.9	60	998.5	0.50	4.12	43.44	0
11.0	  16459	 34	 31.7	139.09	2.67	4.64	2.20	0.0	467	-5.69	-2.50	359	22.9	62	998.7	0.50	4.13	43.68	0
12.0	  14778	 38	 31.9	154.20	3.29	4.67	2.43	2.0	3512	6.81	3.50	359	22.9	62	998.7	0.50	4.13	43.64	0
13.0	  13787	 41	 32.2	165.84	3.80	4.70	2.59	0.0	467	-5.81	-2.81	359	22.9	62	998.7	0.50	4.13	43.80	0
14.0	  12601	 45	 32.0	180.42	4.51	4.67	2.78	2.0	3502	7.37	3.56	359	22.9	63	998.2	0.50	4.13	43.84	0
15.0	  11629	 48	 31.8	191.69	5.15	4.66	2.90	0.0	467	-5.31	-2.94	359	22.9	63	998.2	0.50	4.13	43.68	0
16.0	  11333	 49	 32.8	194.74	5.34	4.79	2.93	2.0	3499	8.00	3.69	359	22.9	63	998.2	0.50	4.11	43.64	0
17.0	  12404	 46	 33.3	189.24	4.89	4.87	2.89	0.0	466	-6.06	-3.00	359	22.9	64	998.9	0.51	4.12	43.76	0
18.0	  13263	 44	 33.0	184.86	4.56	4.82	2.85	2.0	3498	7.56	4.00	359	22.9	64	998.9	0.50	4.13	43.44	0
19.0	  12645	 46	 33.0	188.89	4.83	4.83	2.89	0.0	466	-5.81	-2.87	359	22.9	64	998.9	0.50	4.13	43.56	0
20.0	  12715	 45	 33.4	188.19	4.79	4.88	2.89	2.0	3496	7.12	4.00	359	22.9	65	998.6	0.51	4.13	43.72	0
21.0	  13240	 44	 33.1	185.88	4.61	4.84	2.87	0.0	466	-5.75	-3.00	359	22.9	65	998.6	0.51	4.13	43.72	0
22.0	  12360	 47	 32.4	193.97	5.08	4.73	2.95	2.0	3499	7.31	3.87	359	22.9	65	998.6	0.51	4.12	43.88	0
23.0	  12298	 46	 32.1	187.63	4.85	4.69	2.87	0.0	466	-5.87	-3.12	359	22.9	66	998.5	0.50	4.13	43.96	0
24.0	  11982	 47	 32.9	188.09	4.93	4.82	2.87	2.0	3495	7.12	3.69	359	23.0	66	998.5	0.51	4.12	44.00	0
25.0	  12441	 46	 33.9	190.53	4.93	4.96	2.91	0.0	466	-6.06	-3.12	359	23.0	66	998.5	0.50	4.13	81.92	0
26.0	  13917	 43	 32.9	184.03	4.43	4.82	2.85	2.0	3492	7.50	3.75	359	23.0	66	999.0	0.50	4.13	43.68	0
27.0	  12582	 46	 32.4	189.41	4.86	4.74	2.90	0.0	466	-5.75	-3.00	359	23.0	66	999.0	0.50	4.13	43.76	0
28.0	  12248	 46	 30.9	186.71	4.82	4.52	2.85	2.0	3496	7.31	4.00	359	23.0	66	999.0	0.50	4.13	43.88	0
29.0	  12082	 45	 29.4	174.58	4.39	4.29	2.68	0.0	466	-4.75	-2.75	359	23.0	67	999.7	0.51	4.13	43.84	0
30.0	  10738	 48	 31.5	174.96	4.67	4.61	2.65	2.0	3498	7.81	3.37	359	22.9	67	999.7	0.51	4.12	43.56	0
31.0	  10949	 50	 32.6	195.16	5.45	4.76	2.92	0.0	467	-5.56	-2.81	359	22.9	67	999.7	0.51	4.13	43.40	0
32.0	  11606	 49	 30.9	198.30	5.42	4.51	2.99	2.0	3498	7.25	4.12	359	22.9	67	998.5	0.51	4.12	43.36	0
33.0	  11265	 48	 30.7	184.09	4.92	4.48	2.79	0.0	466	-5.62	-3.06	359	23.0	67	998.5	0.50	4.13	43.32	0
34.0	  11305	 47	 32.6	181.51	4.81	4.76	2.76	2.0	3494	7.44	4.00	359	23.0	67	998.5	0.50	4.13	43.32	0
35.0	  11756	 48	 33.5	196.53	5.31	4.90	2.97	0.0	466	-6.06	-3.00	359	23.0	67	999.1	0.50	4.13	43.00	0
36.0	  12033	 49	 32.6	203.39	5.53	4.77	3.07	2.0	3492	7.12	3.94	359	23.0	67	999.1	0.50	4.12	43.24	0
37.0	  11527	 49	 32.4	200.33	5.52	4.74	3.01	0.0	466	-5.56	-3.19	359	23.0	67	999.1	0.50	4.13	42.80	0
38.0	  11175	 50	 31.7	202.07	5.68	4.64	3.02	2.0	3495	6.81	3.69	359	23.0	67	999.2	0.50	4.12	43.12	0
39.0	  11415	 48	 28.4	189.91	5.12	4.16	2.87	0.0	466	-4.25	-3.06	358	23.0	67	999.2	0.50	4.13	42.72	0
40.0	  10195	 49	 29.8	172.26	4.68	4.36	2.60	2.0	3492	7.75	3.75	359	23.0	67	999.2	0.51	4.12	42.76	0
41.0	  10945	 48	 31.5	177.33	4.72	4.60	2.69	0.0	466	-4.75	-2.62	359	23.0	67	999.2	0.50	4.13	42.92	0
42.0	  12209	 45	 31.6	178.40	4.51	4.61	2.74	2.0	3491	7.37	3.81	359	23.0	67	999.2	0.50	4.12	42.64	0
43.0	  12269	 45	 32.8	179.55	4.54	4.79	2.76	0.0	466	-5.62	-2.62	359	23.0	67	999.2	0.50	4.13	42.76	0
44.0	  11966	 48	 31.9	196.01	5.25	4.66	2.97	2.0	3495	7.12	3.75	359	23.0	67	998.8	0.50	4.12	42.28	0
45.0	  10832	 51	 30.5	200.55	5.71	4.46	2.99	0.0	466	-4.81	-3.00	359	23.0	67	998.8	0.50	4.13	42.36	0
46.0	  10674	 50	 30.7	188.31	5.23	4.48	2.82	2.0	3488	7.25	3.75	359	23.0	67	998.8	0.50	4.12	42.88	0
