Partector2 SN 8453
Firmware: rev 298
Hardware: rev 3.2
BLE firmware: rev 20
Calibration: 5.85, calibrated on 10.11.2023
Cal params 1: -2.30, 20.67, 3.48, 0.939, 0.00000577, 1.140, 60, 100
Cal params 2: -4.78, 43.74, 12.94, 0.919, 0.00000768, 1.051, 150, 360
Cal params 3: -29.29, 72.83, 44.34, 0.866, 0.00001006, 1.002, 300, 720
Start: 17.6.2026 08:03:49
statistics: 226683 LDSAmin, 14505 min, 435513 pulses
settings 1: 2.00 Idiff, 50 P, 100 D, 0.5 duty cycle, 2.0 pulse period, 1 zeroHV, 1 pulsing
settings 2: 4700 dp setpoint, 10 P, 500 I, 100 flow%
settings 3: 1 integration time, 1 adaptive DV, 0 multi DV, 0 multiDV on, 20 DV switchtime, 0 antispike, 90 RH shutdown, 80 RH autoheat, 1.00 RH corr, 0 RTCcal, 0.00 offs 1T, 0.00 offs 2T, 0.00 offs 4T, 3 ADCmedian, 0 SD, 0 heater, 967.4 dPcal_p, 297.5 dPcal_T, 967.0 cal_p, 298.5 cal_T, 123 compensation, 0 OEM, 0 devDC
settings 4: 999999 alarmlevel, 1 USBtransmit, 1 bluetooth, 15 brightness, 127 contrast, 1 low power, 1 selftest, 360000 selftest interval, 0 autopower
environment: T 7.7...44.7, RH 9.5...82.4
gain	1611.0	1614.0
startup	1576.9	1577.0
ST: Ipump 0.0mA	Display 16.3V	CE -24.0V	+ 2.50V	- -2.54V

time	number	diam	LDSA	surface	mass	A1	A2	idiff	HV	EM1	EM2	DV	T	RH	P	flow	bat	Ipump	error	PWMpump	2f1	2f2
1.0	   8354	 67	31.39	272.29	10.28	5.365	3.377	0.00	283	-10.34	0.25	359	22.7	0	1005.0	0.501	4.14	25.15	0	0	0.5	0.1
2.0	  12536	 55	37.79	268.70	8.23	6.459	3.569	2.00	3428	7.79	5.98	359	22.7	39	1005.0	0.500	4.13	25.45	0	0	0.4	0.0
3.0	  12210	 57	38.21	281.11	8.92	6.532	3.700	0.00	287	-10.34	-2.99	360	22.7	39	1000.1	0.499	4.15	25.76	0	0	0.3	0.3
4.0	  11902	 59	38.50	291.86	9.56	6.582	3.807	2.00	3431	7.66	5.79	360	22.7	39	1000.1	0.500	4.13	25.76	0	0	0.4	0.3
5.0	  12078	 58	38.58	289.10	9.35	6.595	3.784	0.00	283	-10.22	-2.68	361	22.8	49	1000.1	0.500	4.13	25.76	0	0	0.4	0.2
6.0	  11402	 60	37.73	291.93	9.77	6.450	3.783	1.99	3447	7.79	5.67	361	22.8	49	1000.2	0.501	4.13	26.06	0	0	0.4	0.2
7.0	  11671	 59	37.91	288.38	9.48	6.480	3.757	0.00	283	-10.03	-3.11	361	22.8	49	1000.2	0.500	4.14	26.06	0	0	0.4	0.3
8.0	  11434	 60	37.86	293.02	9.81	6.471	3.796	1.98	3430	8.04	5.61	360	22.7	53	1000.2	0.500	4.13	26.06	0	0	0.6	0.2
9.0	  12170	 57	38.42	284.85	9.11	6.567	3.741	0.00	281	-10.03	-2.80	360	22.7	53	1000.5	0.500	4.13	26.06	0	0	0.6	0.1
10.0	  11952	 58	38.43	289.64	9.43	6.569	3.785	2.01	3430	7.54	5.67	361	22.7	53	1000.5	0.500	4.14	26.06	0	0	0.5	0.1
